s_no,brand_name,description
129,LOCOMOTIVE,"White light wash 5-pocket mid-rise jeans, mildly distressed, no fade, has a button and zip closure, and waistband with belt loops"
21,Sera,"Grey and yellow mid-rise printed mid-rise cigarette trousers, has a slip-on closure"
121,Geox,"A pair of round-toe black sneakers, has mid-top styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturerEngineered with waterproof lining"
76,Puma,"Black cardigan in a striped knitted pattern, has a hood with a drawstring fastening, a full zip closure, and long sleeves"
134,Force 10,"A pair of grey running shoes with a tinge of blue, has regular styling, lace-up detailTextile woven design upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by Brand Owner / Manufacturer"
25,Tokyo Talkies,"This two-piece set consists of top and trousersBlue and white striped top, has a round neck, short cold-shoulder sleevesBlue and white striped trousers, has a slip-on closure, side slits"
120,Bitiya by Bhama,"Blue self-design woven A-line dress, has a round neck, short sleeves, button closure,, flared hem"
117,Next Look,"White and brown printed semiformal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
118,XYXX,"Pack of 2 briefs in Black & Navy with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation."
124,SHISEIDO,"Shade Number:  301Shade Name: Lilac StrobeWhat it is:The unique blend of oils in this hybrid formula offers the shine and comfort of a gloss, while smoothing polymers provide the durable, hydrating color of a lipstick. A custom, concave applicator hugs the contours of the mouth and dispenses the perfect amount of pigment that can be worn alone or layered over other lip products for extra dimension and sheen. This full-coverage fluid deposits inky color with a vivid, vinyl finish. Dermatologist-tested.Features:Glossy Oils: Provide a comfortable, non-sticky feel and a lacquer-like finish.Liqui-Ink Technology: Uses a minimal amount of waxes to deposit intense pigment with the weightless glide of a gloss.Ultra-Fine Pigments: Offer intense, full-coverage color that lasts."
5,Parx,"Blue solid formal suitBlue solid regular-fit blazer, has a notched lapel, single-breasted with double-button closure, long sleeves, two flap pockets, one welt pocket, and a double-vented back hemA pair of blue solid mid-rise trousers, has a waistband with belt loops, a zip fly with a button closure, two pockets."
138,Moedbuille,"This jewellery set consists of a necklace, a pair of earrings and a finger ringSilver-plated and blue handcrafted necklace, has a centre piece with textured detail and multiple danglers, secured with drawstring fasteningA pair of matching drop earrings, secured with post and back closure"
89,MBE,"Blue and yellow printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits"
121,Geox,"A pair of coral red pointed toe flats, has regular styling, backstrap detailSuede upperCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/ manufacturer"
121,Geox,"A pair of gold-toned open-toed textured flats, has regular styling, buckle detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by Brand Owner / Manufacturer"
117,Next Look,"Grey and White printed formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
76,Puma,"A pair of round-toe blue sneakers, has regular styling, lace-up detailTextile upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
117,Next Look,"Grey self-design formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
40,Park Avenue,"Pink self-design formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
114,Carlton London,"Coral pink solid woven regular top, has a round neck, short sleeves, button closure"
124,SHISEIDO,"Shade Number : 206Shade Name: Botan        What it is:Using revolutionary Triple Gel Technology, this breakthrough formula allows high levels of pigment to converge with water for cushiony, comfortable, weightless color that stays put for six hours.What it does:This ultra-sleek lipstick bullet glides on to deliver bold, high-impact color in a single stroke. Available in 28 shades inspired by modern Tokyo. Dermatologist-tested.Features:Triple Gel Technology: Delivers a sensorial feel, true color payoff, and a weightless on the lips.Water Infused: Delivers a cooling sensation upon application.Moisturizing Ingredients: Help keep lips feeling soft and hydrated."
126,Anekaant,"Beige self design shoulder bag, has a zip closure1 main compartment, 3 inner pocketsTwo Handles"
125,MSC,"A pair of gold-toned round-toe flats, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole"
114,Carlton London,"Navy solid woven wrap top, has a V-neck, three-quarter sleeves, and button closure"
40,Park Avenue,"Pink colourblocked casual shirt, has a mandarin collar, long sleeves, button placket, curved hem, and 1 patch pocket"
145,Healers,"A pair of tan open-toed flats, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsole"
114,Carlton London,"Blue and white printed woven A-line dress, has shoulder straps, concealed zip closure, an attached lining, and flared hemComes with a belt"
121,Geox,"A pair of round-toe black slip-on sneakers, has regular styling, slip-on detailLeather perforated upper with textured detailCushioned footbedTextured and patterned outsoleEngineered with waterproof liningWarranty: 6 monthsWarranty provided by brand/manufacturer"
118,XYXX,"Pack of 3 briefs in Navy & Grey & Black with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation."
117,Next Look,"Blue printed T-shirt, has a polo collar, and short sleeves"
40,Park Avenue,"Beige solid mid-rise regular shorts, has four pockets, a button closure"
125,MSC,"A pair of blue open-toed flats, has regular styling, velcro detailSynthetic upperCushioned footbedTextured and patterned outsole"
124,SHISEIDO,"SHISEIDO 208 Streaming Mauve VisionAiry Gel LipstickShade No: 208Shade Name: Streaming MauveWhat It Is:Using revolutionary Triple Gel Technology, this breakthrough formula allows high levels of pigment to converge with water for cushiony, comfortable, weightless color that stays put for six hours. This ultra-sleek lipstick bullet glides on to deliver bold, high-impact color in a single stroke. Available in 28 shades inspired by modern Tokyo. Dermatologist-tested.   "
132,HRX by Hrithik Roshan,Commit to your workouts with the HRX Boy's Training Sweatshirt. This pullover styled sweatshirt keeps you warm throughout your workout while the graphic print makes a smart style statement.FeaturesTraining Sweatshirt for your daily workouts.Reflective logo printOpening: PulloverNeck: RoundSleeve: Full SleevesPrint: PrintedFabric: Terry knit
117,Next Look,"Blue self-design formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
131,Varanga,"Yellow printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits"
118,XYXX,"Pack of 3 trunks in Navy & Black with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation."
117,Next Look,"Navy blue printed casual shirt, has a spread collar, long sleeves, button placket, and straight hem"
121,Geox,"A pair of white & silver-toned open-toe flats, has regular styling, zip detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by Brand Owner / Manufacturer"
118,XYXX,"Pack of 3 Navy, Grey &  Black  regular-fit checked boxers with a microfibre waistband.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Single back patch pocket to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
117,Next Look,"Purple self-design formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
118,XYXX,"Pack of 3 Yellow, Black & Navy regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
131,Varanga,"Pink and beige printed kurta with skirt Pink and beige straight calf length kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slitsPink and beige  Printed skirt, has elasticated waistband, slip-on closure"
12,SEJ by Nisha Gupta,Pattern: PrintedFinish: MatteMaterial: Wood
72,ether,"White and blue patterned pique knit polo T-shirt, has a contrast polo collar, a short button placket, short contrast sleeves, a vented hemline with the back slightly longer than the front"
117,Next Look,"Grey self-design formal shirt, has a mandarin collar, long sleeves, button placket, straight hem, and 1 patch pocket"
53,DressBerry,"Pink printed sweatshirt, has a round neck, long sleeves, ribbed hem"
125,MSC,"A pair of pink open-toed flats, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsole"
117,Next Look,"Red and White checked formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
121,Geox,"A pair of round-toe coral pink sneakers, has regular styling, lace-up detailSuede and fabric upperCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer"
5,Parx,"Grey printed casual shirt, has a spread collar, long sleeves, button placket, curved hem and one patch pocket"
123,ExclusiveLane,Set content: 2 Cushion CoversColour: - Comes in Mustard Brown & Golden Colour.Shape: SquarePattern: GeometricFEATURES:- Ideal to be used in your living room or bed room.- The handblock printing is done on one side of the cushion cover.- Depicts handblock printing using the handcraved sheesham blocks.- Depicts beautiful geometrical ornaments pattern handblocked on the cushion.- Comes with an invisible zipper closure at the back.- Does not comes with the cushion filler.- Do not expose the product to excessive heat and sunlight for long. Indoor use recommended.- This product has been made by hand and may have slight irregularities that are a natural outcome of the human involvement in the process.
121,Geox,"A pair of round-toe grey slip-on sneakers, has regular styling, slip-on detailCanvas upperCushioned footbedTextured and patterned outsoleEngineered with waterproof lining Warranty: 6 monthsWarranty provided by brand/manufacturer"
40,Park Avenue,"Blue light wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
40,Park Avenue,"Brown solid mid-rise trousers, button closure, and 4 pocketsThe stylist has paired this pair of trousers with a belt. This pair of trousers does not come with a belt"
40,Park Avenue,"Blue printed formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
131,Varanga,"Mustard yellow and orange printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem and side slits"
4,Raymond,"Peach-Coloured self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
12,SEJ by Nisha Gupta,Set content: One runner Type: Table runner Colour: Red and blue Fabric: Polycotton Shape: Rectangular Pattern: Printed Disclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.
114,Carlton London,"Peach-coloured solid knitted bardot top with gathered detail, has an off-shoulder neck, and three-quarter sleeves"
4,Raymond,"Grey solid sweater, has a V-neck, long sleeves, and ribbed hem"
12,SEJ by Nisha Gupta,Set content: 1 printed tissue holderPattern: PrintedFinish: MatteMaterial: Wood
121,Geox,"A pair of square toe coffee brown driving shoes, has regular styling, slip-on detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer"
40,Park Avenue,"Maroon printed party shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
12,SEJ by Nisha Gupta,Set content: 1 table matShape: RectangleColour: Pink and greenPattern: PrintedSuitable For: 1 seater tableMaterial: Cotton
115,HERE&NOW,"Black and off-white self-design sweater, has an open front, long sleeves, and asymmetric hem"
115,HERE&NOW,"Black checked jacket, has a stand collar, 3 pockets, zip closure, long sleeves, straight hem, and polyester"
115,HERE&NOW,"Silver-Toned solid longline parka  jacket, has a hooded, 2 pockets, zip closure, long sleeves, straight hem, has a detachable faux fur and polyester lining Comes with a belt"
40,Park Avenue,"Maroon printed casual shirt, has a spread collar, short sleeves, button placket, and curved hem"
118,XYXX,"Pack of 2 trunks in Black & Grey with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation."
117,Next Look,"White solid T-shirt, has a polo collar, and short sleeves"
124,SHISEIDO,"What it is:A refreshing and purifying rinse off clay mask that helps absorb skin dulling impurities for skin that looks visibly refined and refreshed. Encourages the appearance of a flawless, rested-looking complexion with regular use. Skin is clarified and looks visibly awakened.Benefits:- Clears away impurities lodged in the surface texture and pores at once, to reveal fresh, smooth skin as if it was renewed- The paste turns into a film that adheres snugly to the skin texture and pores- Mineral elements help bring clarity to skin- Contains key washoku ingredients - shiso extract, whole loquat leaf cells and anti-pollution powder- Paraben free, mineral oil freeSuitable for dry skin. Dermatologist-tested.About the Brand: For over 145 years, SHISEIDO has defined the concept of beauty and spread its knowledge and power onto the world with its highest quality products in brightening and anti-aging skincare, makeup and fragrance range.Japan's largest cosmetics and skincare company, Shiseido has been offering products supporting youthful-looking skin through the ages with Innovative formulas, Eastern tradition and holistic philosophies."
114,Carlton London,"Rust red solid woven bardot top, has an off-shoulder neck, and three-quarter sleeves"
129,LOCOMOTIVE,"White solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and one patch pocket"
40,Park Avenue,"White self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
12,SEJ by Nisha Gupta,Set content: 1 table mat Shape: Rectangle Colour: Green and blue Pattern: Printed Suitable For: 1 seater table Material: Cotton 
115,HERE&NOW,"Pink solid jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining"
117,Next Look,"Blue solid casual shirt, has a spread collar, short sleeves, button placket,  curved hem, one patch pocket"
40,Park Avenue,"Pink self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
121,Geox,"A pair of round-toe grey boat shoes with tie-up detailing, has regular styling, slip-on detailSuede leather upper with perforationsCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturerEngineered with waterproof lining"
40,Park Avenue,"Grey solid mid-rise trousers, button closure, and 4 pocketsDisclaimer: The stylist has paired this pair of trousers with a belt. This pair of trousers does not come with a belt."
121,Geox,"A pair of black solid round-toed formal derbysLeather upperCushioned footbedTextured and patterned outsole, has a stacked heelWarranty: 6 monthsWarranty provided by brand/manufacturer"
120,Bitiya by Bhama,"This clothing set consists of top and trousersMustard yellow self-design top, has a round neck, sleevelessRed solid trousers, has a slip-on closure"
114,Carlton London,"Black and pink printed woven maxi dress, has a mandarin collar, three-quarter sleeves, concealed zip closure, an attached lining, and flared hem"
40,Park Avenue,"Blue self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
124,SHISEIDO,"What it is:A long lasting revolutionary water-based illuminator. It brings radiance to any skin tone, and adds a touch of light to dull and fatigued skins.Features:Pure radiance with a patented technologyAdapts to your skin using synchronized technology8-hour lasting validationNatural finishInnovative lightweight texture75% water-based gel formulationOil-free, alcohol-free, fragrance-free, paraben-freeNon-comedogenicDermatologist tested"
40,Park Avenue,"Blue solid formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
125,MSC,"A pair of pink & gold-toned open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsole"
121,Geox,"A pair of round-toe navy blue & grey sneakers, has regular styling, lace-up detailTextile upper with woven design detailCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturerEngineered with waterproof lining"
115,HERE&NOW,"Olive Green and Black camouflage printed puffer jacket, has a detachable hood, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining with 1 pocket"
4,Raymond,"Charcoal grey solid slim-fit blazer, has a notched lapel, single-breasted with double button closures, long sleeves, three pockets, an attached lining and a double vented back hem"
118,XYXX,"Pack of 2 Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
113,Crocs,"A pair of round-toe black sneakers, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
5,Parx,"Black solid mid-rise trousers, zip closure, and 1 pockets"
40,Park Avenue,"Blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
121,Geox,"A pair of black pointed toe flats, has regular styling, backstrap detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer"
117,Next Look,"Multicoloured striped T-shirt, has a polo collar, and short sleeves"
121,Geox,"A pair of round-toe black sequinned sneakers, has regular styling, lace-up detailLeather and pailettes sequin upperCushioned footbedTextured and patterned outsoleEngineered with waterproof liningWarranty: 6 monthsWarranty provided by brand/manufacturer"
124,SHISEIDO,"Shade No: 04Shade Name: EikoWhat it isThis air-whipped cream blush transforms into a long-lasting, weightless, breathable powder with a soft matte finishWhat it doesThis blush uses breakthrough AirFusion Technology to blend effortlessly across skin. The mousse-like texture transforms into an ultra-thin, featherweight powder with a soft matte finish that lasts eight hours. Available in six vivid shades inspired by the House of SHISEIDO's muses and collaborators of the past and present."
123,ExclusiveLane,Pattern: TexturedFinish: MatteMaterial: WoodFEATURES:- Perfect for dining table or office table to organize tissue papers.- The owl motif is hand carved in sheesham wood attached to the napkin holder.- Hand carved in Sheesham Wood.- The product has been made by hand and may have slight irregularities that are a natural outcome of the human involvement in the process.- Comes in dark brown color.
123,ExclusiveLane,"Type: Cutlery and toothpick holderColour: BrownPattern: OwlFEATURES:- Ideal for storing day-to-day dining cutlery like spoons, forks, etc.- Can also be used as utility container or knick-knacks holder to organize your work desk and can also be used to keep stationery items.- Comes with 3 partitions to store cutlery, napkins & toothpicks separately.- The owl block is hand engraved in sheesham wood attached to the holder.- Made in Sheesham Wood.- The product has been made by hand and may have slight irregularities that are a natural outcome of the human involvement in the process."
152,Wild stone,Edge Eau de Parfum
121,Geox,"A pair of off-white solid leather open-toed flats, has regular styling, buckle detailLeather upperCushioned footbedTextured and patterned outsole"
163,Indibelle,"Maroon and yellow printed kurta with trousersMaroon straight calf length kurta, has a V-neck, three-quarter sleeves, straight hem, side slitsYellow Solid trousers, has partially elasticated waistband, button closure"
12,SEJ by Nisha Gupta,Set content: One runner Type: Table runner Colour: Green and orange Fabric: Polycotton Shape: Rectangular Pattern: Printed Disclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.
125,MSC,"A pair of blue open-toed flats, has mid-top styling, buckle detailSynthetic upperCushioned footbedTextured and patterned outsole"
134,Force 10,"A pair of red running sports shoes, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsole"
122,Tulsattva,"Pink and blue printed kurta with trousersPink straight calf length kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slitsBlue Solid trousers, has partially elasticated waistband, drawstring closure"
40,Park Avenue,"Orange solid T-shirt, has a round neck, and short sleeves"
114,Carlton London,"Yellow and pink printed woven shirt dress, has a shirt collar, sleeveless, button placket, an attached lining, and flared hem"
1,DKNY,"Grey solid shoulder bag, has a zip closure1 main compartment, 2 external and 2 inner pocketsTablet sleeve: YesTwo Handles with detachable sling strapWarranty: 3 yearsWarranty provided by brand/manufacturer"
4,Raymond,"Green solid formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
79,Rocia,"A pair of beige & maroon open toe sandals, has regular styling, open back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 3 monthsWarranty provided by brand/manufacturer"
53,DressBerry,"Black printed sweatshirt, has long sleeves, attached hood"
115,HERE&NOW,"Charcoal grey solid longline Parka jacket, has a mock collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester liningComes with a detachable fur collar"
125,MSC,"A pair of blue open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsole"
40,Park Avenue,"Orange solid printed T-shirt, has a polo collar, short sleeves, one pocket"
40,Park Avenue,"Blue solid formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
12,SEJ by Nisha Gupta,Set content: One runner Type: Table runner Colour: Mustard and grey Fabric: Polycotton Shape: Rectangular Pattern: Floral Disclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.
125,MSC,"A pair of sea green open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsole"
117,Next Look,"Blue and Red printed formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
115,HERE&NOW,"Black solid windcheater bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining with 1 pocket"
122,Tulsattva,"Sea Green printed woven A-line %S, has a mandarin collar, three-quarter sleeves, and flared hem"
115,HERE&NOW,"Black printed longline padded jacket, has a hooded, 3 pockets, button and zip closure, long sleeves, straight hem, and polyester lining"
124,SHISEIDO,"Shade Number : 201Shade Name: Cyber Beige What it is:Using revolutionary Triple Gel Technology, this breakthrough formula allows high levels of pigment to converge with water for cushiony, comfortable, weightless color that stays put for six hours.What it does:This ultra-sleek lipstick bullet glides on to deliver bold, high-impact color in a single stroke. Available in 28 shades inspired by modern Tokyo. Dermatologist-tested.Features:Triple Gel Technology: Delivers a sensorial feel, true color payoff, and a weightless on the lips.Water Infused: Delivers a cooling sensation upon application.Moisturizing Ingredients: Help keep lips feeling soft and hydrated."
143,Ecko Unltd,"Olive Green and white checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
12,SEJ by Nisha Gupta,Set Content: 1 tissue holderPattern: PrintedFinish: MatteMaterial: Wood
120,Bitiya by Bhama,"Blue striped woven fit and flare dress, has a round neck, short sleeves, button closure,, flared hem"
115,HERE&NOW,"Grey solid Lightweight bomber jacket, has a stand collar, 3 pockets, zip closure, long sleeves, straight hem, and polyester lining"
4,Raymond,"Blue solid party suitBlue solid regular-fit blazer, has a peaked lapel, single-breasted with double-button closure, long sleeves, two flap pockets, one welt pocket, and a double-vented back hemA pair of blue solid mid-rise trousers, has a waistband with belt loops, a zip fly with a button closure, two pockets."
118,XYXX,"Pack of 3 Navy, Grey &  Black  regular-fit checked boxers with a microfibre waistband.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Single back patch pocket to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
118,XYXX,"Pack of 3 Navy, Grey & Red regular-fit checked boxers with a microfibre waistband.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Single back patch pocket to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.."
40,Park Avenue,"Green checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
117,Next Look,"White and Blue printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
121,Geox,"A pair of red pointed toe pumps, has regular styling, backstrap detailLeather upperCushioned footbedTextured and patterned outsole, has a kitten heelWarranty: 6 monthsWarranty provided by brand/manufacturer"
12,SEJ by Nisha Gupta,Set content: One runner Type: Table runner Colour: Mustard and grey Fabric: Polycotton Shape: Rectangular Pattern: Floral Disclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.
40,Park Avenue,"Grey solid mid-rise formal trousers, has a button closure, four pocketsDisclaimer: The stylist has paired this pair of trousers with a belt. This pair of trousers does not come with a belt."
124,SHISEIDO,"Shade Name: Hyper RedWhat it isA weightless, full-coverage, matte lipstick that lends lips long-lasting, velvety color.What it doesThis non-drying formula delivers matte, full-coverage colour that feels utterly weightless and provides apowder-soft, airbrushed finish on lips.Features:A unique blend of waxes and oils melts and transforms into an ultra-thin, featherweight powder, while spherical pigments float across lips to blur imperfections."
117,Next Look,"White and beige printed casual shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
144,BERING,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Blue bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 3 yearsWarranty provided by brand/manufacturer Comes in a signature BERING case"
121,Geox,"A pair of brown round-toed formal derbysLeather upperCushioned footbedTextured and patterned outsole, has a stacked heelWarranty: 6 monthsWarranty provided by brand/manufacturer"
40,Park Avenue,"Pink solid formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
132,HRX by Hrithik Roshan,Watch the game in comfort and style with the HRX Boy's Lifestyle Sweatshirt. The insulated layer keeps you warm and cozy while the Rapid Dry and Anti-microbial technology keep you sweat free and odor free throughout.FeaturesAthleisure sweatshirt for casual wearInsulated filling helps maintain body temperature even in very cold temperatures.Rapid Dry technology wicks sweat & dries fast.Anti-Microbial technology keeps odor-causing microbes away.Reflective logo print.Adjustable hood protects your ears and neck when you step outdoors.Opening: PulloverNeck: High HoodedSleeve: Full SleevesPrint: Colourblocked 
4,Raymond,"Blue solid party suitBlue solid slim-fit tuxedo blazer, has a shawl collar, single-breasted with double-button closure, long sleeves, two flap pockets, one welt pocket, and a double-vented back hemA pair of blue solid mid-rise trousers, has a waistband with belt loops, a zip fly with a button closure, two pockets."
53,DressBerry,"Black printed sweatshirt, has a round neck, long sleevs, straight hem and embellished detail"
117,Next Look,"Blue self-design formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
132,HRX by Hrithik Roshan,"Show 'em your sporty side with the HRX Boy's Training Sweatshirt. Lightweight, easy to style and versatile, this pullover sweatshirt was designed to be different.FeaturesTraining Sweatshirt for your daily workouts.Reflective logo printOpening: PulloverNeck: RoundSleeve: Full SleevesPrint: Colourblocked with printed detail"
115,HERE&NOW,"Grey melange solid bomber jacket, has a stand collar, long sleeves, zip closure, two pockets, ribbed hem and an attached lining"
134,Force 10,"A pair of black running sports shoes, has regular styling, lace-up detailSynthetic upperCushioned footbedTextured and patterned outsole"
76,Puma,Grey and black backpackPadded haul loop1 main compartment with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: YesWarranty: 3 monthsWarranty provided by brand/manufacturer
21,Sera,"Beige and maroon printed kurta with skirtBeige and maroon straight calf length kurta, has a round neck, sleeveless, straight hem, side slitsBlue Printed skirt, has partially elasticated waistband, slip-on closure"
