s_no,brand_name,description
4,Raymond,T-shirt
14,PARFAIT,Black solid full-coverage everyday bra with lace detailNon padded and non-wired cut and sew cupsRegular straps and back closureBack style: Regular straps with a hook to make it racer backFeature: Side Bone
14,PARFAIT,"Navy blue solid low-rise hipsters with lace inserts and bow detailing, has an inner elasticated waistband, double layered gusset"
84,Beli,"A pair of black, blue, and beige open toe heels, has regular styling, backstrap detailSynthetic upper with woven designCushioned footbedTextured and patterned outsole, has a block heel"
39,Lady Lyka,Red and beige solid medium-coverage beginners braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
11,Homesake,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
16,HIGHLANDER,"Coral and navy blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
5,Parx,"Grey printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
4,Raymond,"Brown self design solid T-shirt, has a polo collar, short sleeves"
77,Blackberrys,"Black woven formal blazer, has a notched lapel, single-breasted with double 
button closure, long sleeves with buttoned detail on the hems, 
structured shoulders, two welt pockets on the front, a mock chest 
pocket, a double vented back hem, and has an attached lining with three built-in pockets"
16,HIGHLANDER,"Rust printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
12,SEJ by Nisha Gupta,Set content: 4 table matsShape: RectangleColour: Mustard yellow and bluePattern: PrintedSuitable For: 4 seater tableMaterial: Cotton
31,ahilya,"A pair of gold-plated sterling silver hoop earrings, has an intricately designed base with embossed and pearl-like detailSecured with an insert closure"
5,Parx,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
5,Parx,Peach-coloured solid t-shirt has a round neck and short sleeves
1,DKNY,"Silver textured cabin trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, an inner mesh zip compartment, two compression straps with click clasps and one zip compartment on the flap with a zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
28,Soie,Maroon lace full-coverage Everyday braNon Padded and Non-Wired seamless lace cupsRegular straps and back closureEliminates side bulgesDouble layered wingsThe cups contain sandwiched soft brushed fabric for no show apex.
41,Roadster,"A pair of beige open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
3,Pink,"Blue light wash 5-pocket mid-rise ankle-length jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops"
20,Gini and Jony,"White and grey dyed T-shirt with applique and embroidered detail, has a round neck, short sleeves"
15,Michael Kors,"NotesTop notes: Pink pepper, pear, sour cherry and peonyHeart notes: Jasmine and orange blossom Base notes: Amber, cashmere wood and suede"
11,Homesake,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and navy bluePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
20,Gini and Jony,"This clothing set consists of top and shortsYellow printed top, has a round neck, sleevelessGrey solid shorts, has a drawstring closure"
19,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Off-White and Olive GreenPattern: Floral
8,Police,"NotesTop notes: Mandarin orange, spices and bergamotHeart notes: Green and floral notesBase notes: Patchouli and woody notes"
11,Homesake,Type: Handcrafted Table Lamp with ShadeColour: Red and Gold-TonedPattern: SolidShape: FrustumShade material: FabricBase material: AluminiumSwitch Type: Toggle Button
42,U.S. Polo Assn. Denim Co.,"This brown jacket from U.S. Polo Assn. Denim Co, featuring a diagonal check quilt pattern on the yoke is a timeless staple that will never step out of vogue. Fashioned from cotton fabric, this full-sleeved jacket promises unmatched comfort all day long. Just tag it with washed denims and shoes.Full zip placketDiagonal check quilt pattern on the yokeSlash pocketsBrand trim on the chest"
17,JEWEL JUNCTION,A pair of gold-toned geometric textured cufflinksComes in a signature JEWEL JUNCTION case
33,Campus Sutra,"Grey and black checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
4,Raymond,"Grey and blue striped T-shirt, has polo collar, short sleeves, one pocket"
5,Parx,"Navy Blue and green printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
85,Nautica,"NotesTop note: Sea notes, sea salt, citruses and corianderHeart note: Palm leaf, green pepper, apple and geraniumBase note: Brazilian redwood, musk, vetiver and patchouli"
20,Gini and Jony,"Yellow and green printed knitted regular top with waist tie-up detail, has a round neck, sleeveless"
14,PARFAIT,Nude-coloured solid medium-coverage Balconette braLightly Padded and Underwired seamless cupsMultiway straps and back closureBack style: RegularFeature: All Day ComfortComes with a pair of extra straps
40,Park Avenue,"Yellow and red printed woven sheath dress, has a round neck, sleeveless, concealed zip closure,, straight hem"
14,PARFAIT,Black solid medium-coverage everyday braNon padded and underwired cut and sew cupsRegular straps and back closureBack style: RegularFeature: Side Bone
4,Raymond,"Grey solid woven nehru jacket, has a mandarin collar, a full button placket, sleeveless, three pockets."
4,Raymond,"Brown self-checked single-breasted formal suitBrown self-checked blazer, has a notched lapel, single breasted with double button closure, long sleeves, three pockets, double vented back hem, an attached liningBrown self-checked waistcoat, has a V-neck, sleeveless, two pocketsBrown self-checked mid-rise trousers, has a zip fly with a button and a hook-and-bar closure, four pockets, a waistband with belt loops"
3,Pink,"Blue dark wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
12,SEJ by Nisha Gupta,Set content: 6 table mats Shape: Rectangle Colour: Pink and green Pattern: Printed Suitable For: 6 seater table Material: Cotton 
86,Jn Joy,"Navy blue sheer top, has a round neck, sleevelessComes with a camisole and a keychain"
12,SEJ by Nisha Gupta,Set content: 4 table matsShape: RectangleColour: MulticolouredPattern: PrintedSuitable For: 4 seater tableMaterial: Cotton
14,PARFAIT,Maroon solid medium-coverage Plunge braLightly Padded and Underwired seamless cups with lace detailRegular straps and back closureBack style: RegularFeature: All Day Comfort
47,Qraa Men,"What It Is?:Qraa Men Pack of 2 Intense Acne Clearing Face Wash 100gm eachWhat It Does?:Qraa Men Acne Clearing Face Wash enriched with tea tree oil and natural ingredients, is an effective oil-free foaming cleansing gel that gently cleanses and clears skin, prevents breakouts and blackheads. It effectively unclogs pores and helps control the moisture levels in skin, resulting in fresh, soft, smooth and clear skin.Features:Acne clearing face wash for men with tea tree oil that is known for its beneficial excellence as a natural remedy for the treatment of acneDue to its antiseptic, antifungal properties, tea tree oil works as an effective remedy for allergic skin reactions and helps to prevent pimplesThe gentle formula helps unclogs pores and controls excess oil, leaving skin feeling fresh, clear and smoothNatural skin brightening formula that promotes healthy, clear skinThis product is free from chemicals and synthetic ingredientsIngredients:Water, Glycerin, Sodium Chloride, Disodium Edta, Bht, Phenoxyethanol, Tea Tree Oil, Neem Extract and Ginger Extract"
1,DKNY,Black backpackPadded haul loop3 and more main compartments with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: YesComes with a pouchWarranty: 5 yearsWarranty provided by brand/manufacturer
39,Lady Lyka,Pack of 2 Black and beige solid medium-coverage beginners braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
31,ahilya,"Oxidised Sterling silver ring, has an intricate design with teardrop-shaped detail throughout"
36,BuckleUp,Black textured beltSecured with a tangWarranty: 1 monthWarranty provided by brand/manufacturer
39,Lady Lyka,Fuschia and beige solid medium-coverage beginners brasNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
25,Tokyo Talkies,"Red printed woven maxi dress, has a round neck, sleeveless, concealed zip closure, an attached lining, flared hem"
80,Marvel by Wear Your Mind,"Black and Blue Printed T-shirt, has a round neck, short sleeves"
46,Bvlgari,"Bvlgari presents this 'Black' EDT that will ensure a reviving and invigorating fragranceThis EDT has a subtle background tobacco-like note, leading the way to a sweet, sexy and a tad creamy heart along with rummy and woody notes"
87,THE SILHOUETTE STORE,"Black solid dhoti jumpsuit, has a shoulder straps, sleevelessComes with a belt"
5,Parx,"Brown solid mid-rise regular trousers, has a button closure, four pockets"
33,Campus Sutra,"Blue solid T-shirt, has a round neck, long sleeves"
14,PARFAIT,Charcoal grey solid medium-coverage Everyday braNon Padded and Underwired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
20,Gini and Jony,"Navy Blue solid mid-rise regular trousers, button closure, zip fly and 5 pocketsComes with a belt"
39,Lady Lyka,Pack of 2Black and fuschia solid medium-coverage beginners braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
1,DKNY,"Purple textured large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
18,ID,A pair of brown fisherman sandalsLeather upper with velcro closureCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
76,Puma,"A pair of round-toe navy blue & white sneakers, has regular styling, lace-up detailTextile upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
16,HIGHLANDER,"Maroon and Grey striped T-shirt, has a round neck, and long sleeves"
74,Russell Athletic,"Black sweatshirt, has an attached hood with drawstring fastening, long sleeves, a full button placket, two insert pockets, a ribbed hem, fleece lining"
17,JEWEL JUNCTION,A pair of silver-toned and black geometric printed cufflinksComes in a signature JEWEL JUNCTION case
18,ID,"A pair of round-toe brown oxfords, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
77,Blackberrys,"Navy Blue solid chambray jacket, has a mandarin collar, 2 pockets, snap button closure with zip, long sleeves, straight hem, and an attached lining"
1,DKNY,"Black textured medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining , two compression straps with click clasps, one zip compartment on the flap with a zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
74,Russell Athletic,"Grey melange sweatshirt, has an attached hood with a drawstring fastening, a full zip closure, long sleeves, two insert pockets, a fleece lining"
88,Xpose,"Blue and Black camouflage printed high-rise regular shorts, has an elasticated waistband with drawstring closure, two pockets"
20,Gini and Jony,"Red and white printed mid-rise regular shorts, has 4 pockets, and zip closure"
16,HIGHLANDER,"Navy Blue and red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
18,ID,"A pair of round-toe navy blue derbys, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
14,PARFAIT,Blue and beige lace medium-coverage Everyday braNon Padded and Underwired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
16,HIGHLANDER,"White and navy blue printed casual shirt, has a spread collar, short sleeves, button placket,  curved hem, one patch pocket"
35,MIAH Decor,Set content: Set of 2 serving bowl setPattern: PrintedFinish: GlossyColour: Beige and greenMaterial: CeramicFeatures: Dishwasher and microwave safe
21,Sera,"Orange and white printed kurta with palazzos Orange and white straight calf length kurta, has a V-neck, sleeveless, straight hem, side slitsOrange and white  Solid palazzos, has partially elasticated waistband, button closure"
5,Parx,"Maroon printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
5,Parx,"Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
20,Gini and Jony,"Blue faded chambray casual shirt with applique detail, has a spread collar, short sleeves, button placket, curved hem, and two flap pockets"
11,Homesake,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and navy bluePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
33,Campus Sutra,"Blue and white dyed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
61,Carrera,"A pair of round-toe black sneakers, has regular styling, lace-up detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
11,Homesake,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
76,Puma,"A pair of round-toe blue sneakers, has regular styling, lace-up detailTextile upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
3,Pink,"Blue and White striped 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
1,DKNY,"Black and grey printed large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketsWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
5,Parx,"Pink solid casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
28,Soie,Black solid full-coverage Maternity bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
5,Parx,"White printed t-shirt, has a round neck , short sleeves"
28,Soie,Nude-Coloured solid full-coverage Minimizer bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
20,Gini and Jony,"Black and grey printed T-shirt, has a polo collar, short sleeves and 1 pockets"
21,Sera,"Mustard and Blue printed woven maxi  top, has a mandarin collar, three-quarter sleeves, and button closure"
1,DKNY,"Silver textured medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip compartment on the flap with a zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
33,Campus Sutra,"Grey dyed T-shirt, has a Henley neck, short roll-up sleeves"
78,Playdate,"Black and White striped knitted tank top, has a round neck, sleeveless, and zip closure"
18,ID,"A pair of tan brown round-toed formal derbys, has central lace-upsLeather upperCushioned footbedTextured PU outsole, has a stacked heelWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer"
22,AccessHer,"Gold-Plated and red antique necklace, has drawstring closureComes with a pair of gold plated earrings, has post and back closure"
12,SEJ by Nisha Gupta,Set content: 4 table matsShape: RectangleColour: MulticolouredPattern: PrintedSuitable For: 4 seater tableMaterial: Cotton
28,Soie,Nude-Coloured solid full-coverage Maternity bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
89,MBE,"Navy Blue printed dupatta, printed border"
14,PARFAIT,"Black solid hipster briefs with lace detail, has an inner elasticated waistband, double-layered gusset"
14,PARFAIT,Blue with a tinge of grey and black colourblocked medium-coverage Sports braLightly Padded and Underwired cut and sew cupsRegular straps and back closureBack style: RegularFeature: Moisture Wicking
5,Parx,"Brown solid mid-rise regular trousers, has a button closure, four pockets"
19,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: SuperfineThread count: 210Colour: Cream-ColouredPattern: Abstract
40,Park Avenue,"Grey checked woven sheath dress, has a keyhole neck, short sleeves, concealed zip closure,, straight hem"
16,HIGHLANDER,"Blue and white colourblocked casual shirt, has a mandarin collar, long sleeves, button placket,  curved hem, one patch pocket"
3,Pink,"White light wash 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
12,SEJ by Nisha Gupta,Set content: 4 table matsShape: RectangleColour: MulticolouredPattern: PrintedSuitable For: 4 seater tableMaterial: Cotton
40,Park Avenue,"Blue solid shirt style top, has a shirt collar, short flutter sleeves"
43,Sweet Dreams,"Navy blue solid straight-fit trackpant, has an elasticated waistband with a drawstring fastening, two pockets"
55,Lakme,Lakme Absolute Matte Melt Liquid Lip ColorShade name: Rhythmic Red 20
16,HIGHLANDER,"Brown and black checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
31,ahilya,"A pair of gold-plated sterling silver drop earrings, has interlinked motifs with cut-out detail and an intricately designed dangler with beadsNote: This jewellery is handcrafted, therefore there might be slight variations from the image."
20,Gini and Jony,"Brown solid mid-rise regular shorts, has 5 pockets, and button closure, zip fly"
12,SEJ by Nisha Gupta,Set content: 6 table mats Shape: Rectangle Colour: Green and blue Pattern: Printed Suitable For: 6 seater table Material: Cotton 
3,Pink,"Blue light wash 5-pocket low-riseankle-length jeans, mildly distressed, heavy fade, has a button and zip closure, and waistband with belt loops"
14,PARFAIT,"Beige solid hipster briefs, has inner elastic waistband, double layered gusset"
14,PARFAIT,"Black solid mid-rise hipster briefs with lace detail, has an inner elasticated waistband, double layered gusset"
9,Vishudh,"Olive Green embroidered straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits"
18,ID,A pair of tan solid Comfort SandalsLeather upper materialSole material: PUCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
5,Parx,"Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
20,Gini and Jony,"Brown solid mid-rise knitted regular shorts, has 5 pockets, and hook and bar closure"
20,Gini and Jony,"Black solid semi-sheer net A-line skirt, has an elasticated waistband with slip-on closure, flared hem, attached lining"
18,ID,A pair of brown shoe-style sandalsLeather upper with velcro closureCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
5,Parx,"Blue medium wash five-pocket mid-rise jeans, clean look with light fade, has a button and zip closure, waistband with belt loops"
27,her by invictus,"A pair of pointed closed toe tan brown mules with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole"
5,Parx,"Grey checked T-shirt, has mandarin collar and short sleeves"
18,ID,"A pair of round-toe blue sneakers, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
3,Pink,"Black medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops"
55,Lakme,Lakme Absolute Matte Melt Liquid Lip ColorShade name:12 Natural nude
12,SEJ by Nisha Gupta,Set content: 6 table mats Shape: Rectangle Colour: Blue and green Pattern: Printed Suitable For: 6 seater table Material: Cotton 
16,HIGHLANDER,"Blue and black printed casual shirt, has a spread collar, short sleeves, button placket,  curved hem, one patch pocket"
33,Campus Sutra,"Blue and Grey checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
27,her by invictus,"A pair of round-toe nude-coloured slip-on cushioned sneakers with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, slip-on detailSynthetic patent upperCushioned footbedTextured and patterned outsole"
5,Parx,"White and orange checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
22,AccessHer,"This jewellery set consists of a necklace and a pair of earrings Gold-plated statement necklace embellished with beads, secured with drawstring fasteningA pair of matching earrings, secured with a post-and-back closure"
30,Urban Dog,"Charcoal grey printed mid-rise sports shorts, has two pockets, a drawstring closure"
76,Puma,"A pair of round-toe blue sneakers, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
27,her by invictus,"A pair of pointed toe charcoal grey slip-ons with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, slip-on detailSynthetic Suede upperFoam cushioned footbedTextured and patterned outsole"
22,AccessHer,"Gold-plated and black beaded mangalsutra, Handcrafted with golden nakshi beads,Secured with an golden adustable chain"
22,AccessHer," Gold-plated and off-white maang tikka, has crescent-shaped design with kundan embellishment detail and pearl beaded droplets  Secured with S-hook closure "
7,Kenneth Cole,Pink solid backpackNon-Padded haul loop1 main compartment with zip closureNon-Padded backPadded shoulder strap: Non-Padded
41,Roadster,"A pair of olive green open-toed flats, has regular styling, buckle detailSynthetic Suede upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
84,Beli,"A pair of black textured open toe sandals, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole, has a slim heel"
30,Urban Dog,"A pair of white and black striped regular-fit boxers, has an inner elasticated waistband, button fly, slip-on closure, one pocket"
35,MIAH Decor,Type: Coffee mugsPattern: PrintedFinish: MatteMaterial: Ceramic
74,Russell Athletic,"Grey melange printed sweatshirt, has a round neck, long sleeves, a kangaroo pocket, a fleece lining"
5,Parx,"Blue printed casual shirt, has a cutaway collar, long sleeves, button placket,  curved hem, one patch pocket"
3,Pink,"Blue dark wash 5-pocket low-rise ankle-length jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
55,Lakme,Lakme Absolute Matte Melt Liquid Lip ColorShade name: 22 Pink Heels
5,Parx,"Blue and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
21,Sera,"Off-White and black printed kurta with palazzos Off-White and black straight calf length kurta, has a round neck, sleeveless, straight hem, side slitsOff-White and black  Solid palazzos, has partially elasticated waistband, button closure"
39,Lady Lyka,Fuschia and Purple solid medium-coverage beginners braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
5,Parx,"Green solid t-shirt has a polo neck, short sleeves"
90,Mast & Harbour,"A pair of maroon open-toed flats, has regular styling, no back strap detailSynthetic upperTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
14,PARFAIT,Black and grey lace medium-coverage Everyday braNon Padded and Underwired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
5,Parx,"White and blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
35,MIAH Decor,Set Content: 1 jarPattern: PrintedFinish: GlossyMaterial: Ceramic
21,Sera,"Pink and maroon printed woven A-line dress with gathered detail, has a tie-up neck, three-quarter puff sleeves, and flared hem"
12,SEJ by Nisha Gupta,Set content: 6 table mats Shape: Rectangle Colour: Turquoise-blue and pink Pattern: Printed Suitable For: 6 seater table Material: Cotton 
33,Campus Sutra,"Black and white printed T-shirt, has a round neck, long sleeves, and 1 pockets"
17,JEWEL JUNCTION,A pair of gold-toned geometric textured cufflinksComes in a signature JEWEL JUNCTION case
3,Pink,"Navy Blue dark wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
90,Mast & Harbour,"A pair of pink round-toe flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
5,Parx,"Red and navy blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
17,JEWEL JUNCTION,A pair of silver-toned geometric printed cufflinksComes in a signature JEWEL JUNCTION case
33,Campus Sutra,"Blue and white checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
22,AccessHer,"Gold-plated flower-shaped nosepin, has kundan-studded detailSecured with a clip-on closure"
22,AccessHer,Blue and Gold-Plated enamelled circular drop earrings and has artificial stonesSecured with a post and back
72,ether,"A pair of coffee brown open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 45 daysWarranty provided by brand/manufacturer"
17,JEWEL JUNCTION,A pair of gold-toned geometric solid cufflinksComes in a signature JEWEL JUNCTION case
1,DKNY,"Purple textured cabin trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
35,MIAH Decor,Pattern: PrintedFinish: GlossyMaterial: Ceramic
41,Roadster,"Orange printed sweatshirt, has a round neck, long sleeves, ribbed hem"
31,ahilya,"A pair of gold-plated sterling silver drop earrings, has an floral base with pearl-like detail and coloured stones and a cubical danglerSecured with a post-and-back closure"
5,Parx,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
18,ID,A pair of tan brown one-toed comfort sandalsSynthetic upper with velcro closureCushioned footbedPatterned rubber outsole
33,Campus Sutra,"Blue checked chambray casual shirt, has a mandarin collar, long sleeves, button placket, curved hem, and 1 patch pocket"
3,Pink,"Blue medium wash 5-pocket mid-rise jeans, mildly distressed, heavy fade, has a button and zip closure, and waistband with belt loops"
5,Parx,"Green checked casual shirt, has a spread collar, short sleeves, button placket,  curved hem, one pocket"
14,PARFAIT,Fuchsia pink lace medium-coverage Plunge braLightly Padded and Underwired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
33,Campus Sutra,"Green dyed T-shirt, has a Henley neck, and short sleeves"
5,Parx,"White printed T-shirt, has polo collar, short sleeves"
31,ahilya,"A pair of gold-plated sterling silver and green hoop earrings, has floral detail with multiple multifaceted stone embellishments, and a jhumki dangler with dangling synthetic pearls belowSecured with a stylised insert closure"
20,Gini and Jony,"Black and grey printed T-shirt, has a polo collar, and short sleeves, 1 pocket"
31,ahilya,A pair of gold-plated sterling silver hoop earrings with cut-out detailSecured with a lever-back closure
12,SEJ by Nisha Gupta,Set content: 4 table matsShape: RectangleColour: Pink Pattern: PrintedSuitable For: 4 seater tableMaterial: Cotton
40,Park Avenue,"Blue solid A-line top, has a round neck, short slit sleeves with tie-up detail"
12,SEJ by Nisha Gupta,Set content: 4 table mats Shape: Rectangle Colour: Yellow and blue Pattern: Printed Suitable For: 4 seater table Material: Cotton 
32,VASTRAMAY,"Gold-Coloured and maroon solid kurta with churidarGold-Coloured straight knee length kurta, has a mandarin collar, long sleeves, straight hemGold-Coloured and maroon solid churidar, slip-on closureMaroon self design jacket, has mandarin collar and one pocket"
14,PARFAIT,Maroon lace medium-coverage Balconette bra Lightly Padded and Underwired cut and sew cups Regular straps and back closure Back style: Regular Feature: Reversible
12,SEJ by Nisha Gupta,Set content: 4 table matsShape: RectangleColour: multicolouredPattern: PrintedSuitable For: 4 seater tableMaterial: Cotton
4,Raymond,"Maroon self-design single breasted bandhgala blazer, has a mandarin collar, full button placket, long sleeves, three pockets and a double vented hem"
4,Raymond,"Blue checked single-breasted formal suitBlue checked blazer, has a notched lapel, single breasted with double button closure, long sleeves, three pockets, double vented back hem, an attached liningBlue checked mid-rise trousers, has a zip fly with a button and a hook-and-bar closure, four pockets, a waistband with belt loops"
22,AccessHer,Handcrafted rose gold-plated necklace with high quality American diamonds studdedThis necklace comes with adjustable links and lobster claw closureA pair of small matching earrings with push and back closure.
5,Parx,"White printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
91,JC Collection,"Mustard yellow lace woven wrap dress, has a V-neck, three-quarter sleeves, concealed zip closure, an attached lining, and flared hem"
92,GUESS,GUESS Girl Belle Eau de Toilette
56,Allen Solly Woman,"Navy Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
14,PARFAIT,Black self design medium-coverage Plunge bra Lightly Padded and Underwired cut and sew cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
16,HIGHLANDER,"Black and grey checked mid-rise regular trousers, has a button closure, four pockets"
12,SEJ by Nisha Gupta,Set content: 6 table matsShape: RectangleColour: MulticolouredPattern: PrintedSuitable For: 6 seater tableMaterial: Cotton
11,Homesake,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and navy bluePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
12,SEJ by Nisha Gupta,Set content: 1 open dry binColour: Pink and bluePattern: Peacock printShape: Rectangular
28,Soie,Off-White solid full-coverage Everyday bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
